,post_username,post_ID,post_comment,message_ID,sentiment,DatetimeSG,Hour,Dayofweek,wordcount,mean,vNegTerms,negTerms,posTerms,vPosTerms
613,Toh Yan Ping,1.02E+16,There was once I took a grabshare with a student whom board opposite my block. We started chatting during the journey with the driver and we realise that the driver used to live near my block too. 3 persons have not had a chance to talk to each other since we used to stay so near yet so  coincidentally we manage to get a chance to know each other on grabshare. A really good and enjoyable ride ,3826,positive,7/31/2017 0:11,0,1,78,1,0,2,3,0
614,Apple Tay,1.02E+16,"I met a corider and I shared with him how I have save $2000 a month by selling away my car and taking grab everyday. We talked about how this sharing economy has helped so many people. People who are in between job, people who are stressed with their daily work, people who are willing to go an extra mile to make more every month. A car sitting in a carpark for 8 hours a day is now driven by someone who is willing to work hard and put the vehicles to work hard too. There are some many great think about sharing economy, lesser carbon, more efficiency and cheaper cost of living. Mobike and ofo and all the delivery services are great technology that encourage sharing economy",3817,positive,7/30/2017 20:01,20,0,128,0.875,0,3,5,0
615,Diana Junjie,1.82E+15,"Just ytd, took a grabshare and got to know its a small world afterall as he maybe my father's friend and he (whom was wearing formal wear) said i made his day when i feedbacked that he look like an intern. Afterwhich, i app my family   abt this and my sis was asking how did this coincidence happened and i reply its all becox of a simple chat to begin with. The very first step to friendship all begins with a little chatdiana :)",3832,positive,7/31/2017 17:22,17,1,84,0,0,0,0,0
616,Isabel Ong,1.02E+16,"Hahaha! Another lady was sharing with me, and she lived in the same area as me. Both of us have lived in the same area for a very long time, and we started chatting about all the different condominiums here and what they have.  ""The one further down the road has a water slide and mini golf area!"" ""Omg ya! And then there's the one beside mine that has a small hammer shark in the aquarium at the clubhouse!"" ""Ah yes! It's still there ah! Oh and then this one has karaoke!"" ""Omg ikr hahaha! All so different and cool"" Last time there used to be thisthisthis thatthatthat... now there's this new thisthisthis thatthatthat.. ... went on chatting about all the time we've been living in the area hahaha!",3829,positive,7/31/2017 7:03,7,1,129,2.2,0,0,5,0
617,Cecilia Chng,1.45E+15,"I asked the second rider who hopped onto the car why is he at he pick up point?  He replied he came to his aunt's house every weekend to help her in her IT issues.  I probed why there were so many IT issues and he said because her aunt is starting an ecommerce business.  In the end, we exchanged numbers and now he also helps me with IT whenever I face IT issues.  Lol.  Esther Lay Eng Chng Joy Yeo",3827,positive,7/31/2017 4:10,4,1,81,2.4,0,0,4,0
618,Wan Qing,1.02E+16,"I usually took share very early in the morning around 6.15am and usually would not need to share with any riders. About few weeks ago, i shared a ride with a fellow Tampinian and she turned out to be a fellow teacher teaching in the secondary tracks. We hit off quite well and shared differences between teaching in a primary and secondary. The very next day when i took grab to school and as the driver inform me he will turn in to fetch another lady, i got a feeling it will be her and turns out ya its her!  The driver we had tt day was super cool with a mini fridge that allows his passengers to help themselves to it. I was even offered a biscuit when he knew i didnt had breakfast.  Subsequently, i shared with Teacher Eileen for another ride fir the 3rd time! Im sure we will have chance to meet again! :)",3823,positive,7/30/2017 22:49,22,0,158,1.454545455,0,0,11,0
619,Marcus Tan,1.94E+15,"I ask one person in grabshare before if she has a boyfriend,and she immediately replied no.Then I ask ""U are so beautiful, can u be my girlfriend?"" and she answered ""Yes,U are such a busybody,get the hell out of here"" lol",3812,positive,7/30/2017 19:08,19,0,41,0.6,1,0,2,0
620,Angeline Yang,1.02E+16,"I took GrabShare and the other person boarded the car at the same office building with me.  Smiled at her and we started talking about the offices in that building and our destination (we are both going to Tampines). We started linking up stories from our destination (Tampines) and realized we went to the same secondary school in Pasir Ris. Our ages are similar so we started exploring secondary school people we both knew.   We chatted nonstop from our pick up point to our destination.   Sadly, we forgot to exchange contact.  But it was an amusing ride of fate where we probably walked past each other many times in the same housing estate or secondary school.",3821,positive,7/30/2017 21:23,21,0,116,0,0,1,1,0
621,Dalila Paiman,1.02E+16,"I was on a grabshare ride to SGH when i was matched to a second rider at East Coast Lagoon. The rider was an American lady who has been in Sg for a few months. I started the conversation by asking how her dinner was, and then we talked about food and how she has been adapting to the Sg culture. When she asked where i was heading to, i said that i was going to the hospital to visit my (now late) grandfather. I shared on his illness and how he used to smoke heavily. Before i alighted, she offered me a pack of nicorette gums as a gift to my grandfather and extended her well wishes for him. Such kind gestures.",3825,positive,7/30/2017 23:03,23,0,123,1,0,1,5,0
622,Li Huiting,1.02E+16,I met an Indian teacher on grabshare. She teaches in an Indian International school. We soon strike up a good conversation about the education system of the 2 countries since I teach locally. I have been to India 3 times on community service trips and love Indian food. It was an enjoyable ride of exchanges of passion for the work we do and the food we love.,3828,positive,7/31/2017 4:11,4,1,67,2.5,0,1,1,2
623,Pont Pont Win,1.02E+16,"Me and my son booked the GRABshare near Bedok MRT and we were going back to Bishan. Suddenly, there was a heavy rain and we were waiting in opposite direction. The corider and the driver were very nice . They make U turn and pick us up . We started our conversation about Grab. Grab is very convenient for everyone",3830,positive,7/31/2017 7:52,7,1,60,1,0,1,0,1
624,Grab,2.30E+14,Did you get it right? The most popular tourist hotspot among Grab riders in Singapore is the Singapore Zoo! Check out more interesting facts on our 5th anniversary page: https://www.grab.com/sg/grabturns5/  :),3885,positive,7/30/2017 22:44,22,0,31,2.5,0,0,2,0
625,John Ho,2.22E+14,Finding Jobs!,3877,neutral,7/29/2017 22:23,22,6,2,0,0,0,0,0
626,Fahtin Shamirah,5.16E+14,Westgate. JCube. Jem. Imm. Tanjong Katong. Joo Chiat.,3886,neutral,8/1/2017 23:29,23,2,8,0,0,0,0,0
627,Webster Yew,1.48E+15,The 2 casinos.,3863,neutral,7/29/2017 20:57,20,6,3,0,0,0,0,0
628,Bok Chek Yang,1.02E+16,Any prizes for the correct answer ?,3878,neutral,7/29/2017 23:44,23,6,7,0,0,0,0,0
629,Aloy Sius,1.02E+16,LTA OFFICE,3876,neutral,7/29/2017 21:58,21,6,2,0,0,0,0,0
630,Airell Khairyl Zhairyl,1.99E+15,Petain rd,3872,neutral,7/29/2017 21:32,21,6,2,0,0,0,0,0
631,Jasmin Rizhwana,1.02E+16,Marina bay sands n gardens by the bay,3865,neutral,7/29/2017 20:58,20,6,8,0,0,0,0,0
632,Kevin Lin,1.02E+16,Everybody knows Orchard road.,3868,neutral,7/29/2017 21:14,21,6,4,0,0,0,0,0
633,Jong Yong Kim,1.39E+15,Merlion Bay,3875,neutral,7/29/2017 21:47,21,6,2,0,0,0,0,0
634,Colin Fong,1.82E+15,!,3881,neutral,7/30/2017 3:27,3,0,1,0,0,0,0,0
635,KarthigaKarthi S Francis,1.02E+16,Gardens by the bay,3866,neutral,7/29/2017 21:00,21,6,4,0,0,0,0,0
636,Shumaiya Shahrin Bhuiyan,1.02E+16,Santosa,3873,neutral,7/29/2017 21:36,21,6,1,0,0,0,0,0
637,Jackie Soh,1.02E+16,Sentosa,3864,neutral,7/29/2017 20:58,20,6,1,0,0,0,0,0
638,Niklas JY Soh,2.01E+15,changi airport,3882,neutral,7/30/2017 4:42,4,0,2,0,0,0,0,0
639,Andy Wee,1.02E+16,Sentosa !,3884,neutral,7/30/2017 17:05,17,0,2,0,0,0,0,0
640,Yoon Sun Young,1.02E+16,Sentosa,3870,neutral,7/29/2017 21:24,21,6,1,0,0,0,0,0
641,Zulaikah Beevi,1.02E+16,Vivo City,3874,neutral,7/29/2017 21:44,21,6,2,0,0,0,0,0
642,Tina Lim,6.97E+11,Zoo!,3883,neutral,7/30/2017 6:22,6,0,1,0,0,0,0,0
643,Alvin Goh,1.02E+16,Hougang mall,3871,neutral,7/29/2017 21:25,21,6,2,0,0,0,0,0
644,Kah Wee Lee,8.30E+14,Sentosa,3862,neutral,7/29/2017 20:28,20,6,1,0,0,0,0,0
645,Ivy Poon,1.02E+16,Orchard road,3879,neutral,7/30/2017 0:02,0,0,2,0,0,0,0,0
646,Li Weihao,1.02E+16,Geylang,3869,neutral,7/29/2017 21:20,21,6,1,0,0,0,0,0
647,Sylvester Goh,4.80E+14,uss,3880,neutral,7/30/2017 0:55,0,0,1,0,0,0,0,0
648,Diana Soh,1.02E+16,Universal Studio Singapore Bervyn Ng Kang Jie,3867,neutral,7/29/2017 21:12,21,6,7,0,0,0,0,0
649,Seethua See,1.82E+15,,3808,neutral,7/27/2017 4:17,4,4,1,0,0,0,0,0
650,Seethua See,1.82E+15,,3810,neutral,7/27/2017 4:17,4,4,1,0,0,0,0,0
651,Seethua See,1.82E+15,,3809,neutral,7/27/2017 4:17,4,4,1,0,0,0,0,0
652,Seethua See,1.82E+15,nothing  to comment,3811,neutral,7/27/2017 4:18,4,4,3,0,0,0,0,0
653,Grab,2.30E+14,"Hi Hs Tan, kindly pm us the issue you are facing so that we can assist you accordingly. Thank you",3805,neutral,7/30/2017 12:15,12,0,20,2.666666667,0,0,2,1
654,Falcao Radamel,1.02E+16,why do i have to pay for cancel charge of 5dollars when the driver need to drop off a passenger and take 8mins to reach me? if i am not rushing for time why do i need to book a cab???? if ur driver need so long hen he shouldn't dnt have accept the booking!!! rubbish driver,3806,negative,7/30/2017 22:52,22,0,57,-0.333333333,0,3,2,0
655,FaWw LOnethu Gee Gyifourkyi,1.68E+15,I took second ride with $6 off but driver cancelled and my discount  expired. Really disappointed with the service .,3795,negative,7/27/2017 8:45,8,4,20,-1.5,0,2,0,0
656,Jessica Ng,1.02E+16,"Hi Grab, I cannot use my 4CREDITS for the 2nd trip this week, after I use TAKE3 promo for my 1st trip. If that is so, I don't see the benefits of topping $30 Grab credit to benefits from 2nd trip of $4$6 off offers. Grab are not sincere in their offers to regular users, disappointed!!!",3802,negative,7/29/2017 18:03,18,6,56,1,0,1,3,0
657,Bernard Tan,8.46E+14,Are you able to have better promo for platinum members?,3784,neutral,7/24/2017 22:05,22,1,10,2,0,0,1,0
658,Rosni Ramlan,1.85E+15,"Hi, how do you charge the extra $5 for the 2 destination? Does it apply to the booking also?",3790,neutral,7/26/2017 5:51,5,3,19,0,0,0,0,0
659,Allan Ho,1.46E+15,"I got charge extra $3 and send an email regarding this on 15 July. Request number 21340748, there is no reply and respond from grab till now for this additional charges. Can the grab taxis driver charge extra without any reasons? There is no toll free on sat evening and I wait for the driver for 10 min.",3797,neutral,7/28/2017 5:03,5,5,58,1,0,2,1,0
660,Dawn Low,1.02E+16,"I followed exactly what is indicated on the correct period n timing, why it don't allow me to use?",3787,neutral,7/25/2017 8:45,8,2,19,1,0,0,1,0
661,Natasha Nufuu,8.82E+14,Your driver missing in action after I wait so long and ur app says 4min. I waited over 15 and am late and u charged me for the ride?!?! What is this? I tried contacting him and he's missing in action and u make me pay for it?!?!,3785,neutral,7/24/2017 23:46,23,1,48,-1.2,0,3,0,0
662,Jay Tea Teo,1.02E+16,Why do i get charged $1 for adding my ocbc debit card to payment?,3798,neutral,7/28/2017 20:46,20,5,14,0,0,0,0,0
663,Priss Tay,1.02E+16,What is the use of Promo ends 31 July when the code are fully redeem before 31 July.,3794,neutral,7/27/2017 5:18,5,4,18,0,0,0,0,0
664,Stanley Lim Pin Jie,1.02E+16,"I was to pay the initial fare even though I have entered your promo code ""TAKE3"" Your driver insisted that I did not key in any promo code. Not wanting to hold traffic up behind the drop off point, I paid in full assuming I did forget to key in. However, when I received the ereceipt, in stated that I did key in the promo code. Meaning, the driver overcharged me.",3803,neutral,7/29/2017 19:39,19,6,71,-0.666666667,0,2,0,0
665,Chern Chern Lim,1.02E+16,"Hi there, I'm trying to use the 30Hitch promo for grab hitch and booking my first ride for tomorrow.  I've set the date and time and opted to use GrabPay.  However, it keeps saying that the booking is not eligible for the promo.  I don't get what is wrong when I had successfully used this promo code for the past 2 days.  Please hep.  Thanks!",3793,neutral,7/27/2017 2:58,2,4,65,0.333333333,0,1,2,0
666,Vernon Cai,1.57E+15,Hi Grab. Thank you for sending the promo code 5credits. but one of my trip was deducted full fare even though the booking reflected that the promo code is applied. please assist. I have emailed but didnt get any reply  ticket number : 21905957,3788,neutral,7/25/2017 16:53,16,2,44,1.666666667,0,0,3,0
667,Zi Gui,1.02E+16,what is the minimal fare to enjoy this $3off. I tried to use this promo code for a $6 dollars fare and got a prompt that its not applicable. I applied the promo code within the terms and condition. This is disappointing.,3786,negative,7/25/2017 7:09,7,2,42,0,0,1,1,0
668,Junfa Ch'ng,1.02E+16,"is it possible to block a driver from taking my grab bookings in future. my wife has an extremely negative experience with a grab driver, and wish to block this driver.",3783,negative,7/24/2017 19:55,19,1,31,-0.75,0,3,1,0
669,Jason Ling,1.02E+16,Hello Grab.. please consider fixed fare for taxi ride (not for just grab as we hv infant which not belong to grab family group of booking)...  http://www.channelnewsasia.com/news/singapore/taxicompaniesgetgreenlighttointroducesurgepricing8580042,3801,negative,7/29/2017 15:53,15,6,27,1,0,0,1,0
670,Michelle Tan,1.02E+16,"Hi grab you are not responding to my fb message, and is definitely your system error yet you say you couldn't refund us , as grab don't refund cash into card if it is below $5, grab don't refund anything below $5,  So can only give a $3 promocode.. I don't need grab promocode, as grab always has promocode, how can u overcharge us apparently of your system error, and we paid cash, and u gave us just a promo code $3 that a min ride is $4. Since u overcharged us in cash u should refund us in cash Not a promocode as it is not a promo, it is a refund of ur system error!",3807,negative,7/31/2017 3:01,3,1,117,-2,0,3,0,0
671,Vernon Cai,1.57E+15,"Hi Grab, I have an issue with full fare being charged with the usage of promo code 5credits again. I've PM you with the details, kindly respond as no followup is done via email. Thank you.",3804,neutral,7/30/2017 7:37,7,0,36,2,0,1,1,1
672,Chantelle Sun,1.02E+16,"Am eligible for the $5 off for 2430july, took twice today but was being charged full fare even thou I have keyed in the code. Have already pm you. Please check and revert! Thanks",3800,neutral,7/29/2017 2:56,2,6,34,1,0,0,2,0
673,Siew May Ling,1.02E+16,"Hi, I keyed in the accurate promo code and the mode of payment but is unable to use the promo code. Your help desk staff mentioned that it will take at least a day to get it rectify without giving an alternative solution. Hope to get your reply soon.",3791,neutral,7/27/2017 2:29,2,4,49,1.666666667,0,0,3,0
674,Cath Ng,1.02E+16,"I successfully topped up 30 and received an eligibility promo code yesterday for $4 off. But it has disappeared. Your phone customer service says this has to be escalated to the technical team which takes 1 to 2 days to resolve, without providing me the code. The promo was supposed to start yesterday and by the time you get it rectified it would be almost over. This is ridiculous and your CS did not offer any solution at all. I expect to be refunded immediately if you can't honour your promo.",3789,negative,7/25/2017 19:10,19,2,91,0.2,0,2,3,0
675,Darren Lee,1.90E+15,"Hi grab being a loyal grab supporter, I am honestly disappointed with the latest promotion again . This is the 3rd week in the row , that u are giving platinum riders the worst of it . I feel honestly U should reward those that are regular supporters of grab , if not people might start to jump ship . Thanks",3799,negative,7/28/2017 21:10,21,5,61,0.571428571,0,2,5,0
676,Ace Tan Heng Wee,1.15E+15,"Hi, i try using the promo code ""take3"" this morning but when i enter the code in the apps it promoted me error. Can u pls clarify.",3796,neutral,7/27/2017 17:16,17,4,27,0.333333333,0,1,2,0
677,Serene Toh Swee Ling,1.02E+16,How come I can't redeem this promo when my friend can???,3792,neutral,7/27/2017 2:52,2,4,11,0,0,0,0,0
678,Vernon Cai,1.57E+15,"Hi Grab, just 3 days into the promo code of 5 credits, and I have been charged full fare for 3 trips. The reimbursement for 1 time is fine, but not 3 times, or I am expecting more to come? I am literally PAYING real cash for a promo code that is supposed to be FREE. Pls respond to my PM. Thank you",3754,neutral,7/27/2017 8:33,8,4,63,1.5,0,0,4,0
679,Wanatsanan ,1.02E+16,"Today I booked Grab 3 times, and all booking was canceled by your end. I tried to booked again and again, waste the time for 30 minutes and just received email 'sorry'   Can you explain for the situation?",3755,neutral,7/28/2017 3:39,3,5,38,-4,1,1,0,0
680,Tommy Sng,1.56E+15,"Hi Grab,  Previously, we can save promo codes in 'my rewards' by starring them. Recent updates have removed this feature. Can we have this feature back?",3756,neutral,7/31/2017 3:28,3,1,26,2,0,0,2,0
681,Levin Foo,7.52E+14,"I top up ready, until now haven received the prom code",3752,neutral,7/24/2017 20:18,20,1,11,2,0,0,1,0
682,Levin Ng,1.02E+16,You never show a transaction history of my grabpay balance. How we check how much before and after?,3751,neutral,7/23/2017 0:06,0,0,18,0,0,0,0,0
683,Joyce Chua,1.02E+16,Can I use the promo code concurrently with this grab reward point ?,3753,neutral,7/25/2017 2:01,2,2,13,2,0,0,1,0
684,,1.58E+15,Griz Liu,3757,neutral,8/3/2017 10:07,10,4,2,0,0,0,0,0
685,Edwin Sim Loong Tan,1.02E+16,"Hey, I am also your Platinum member ! Your promotion is really getting suckier  seriously, is this really how you reward your regular User? From $5 per ride , become $7 2nd ride , now $6 for 2nd ride . There is really not much incentive and terrible . In fact, u treat first timers to Grab Pay much better.",3740,negative,7/22/2017 6:15,6,6,60,0.25,0,1,2,0
686,YS Recruit,8.50E+14,"Of all the Grab rides I've taken, 2 of my worst are with Taxi drivers; there are nice ones around but otherwise they are usually sullen, silent, have lots to complain about how private hirers are robbing them of their livelihood or refuse to be told how to get to the destination.  Seriously if they are so disgruntled and unhappy about the whole system then just get out of it.  Just this morning I had this taxi driver shout at me just because I was directing him the usual route to my destination. Apparently he felt I was throwing my weight around because I am a paying passenger and giving him orders. Not all, but some got really lousy attitudes.",3750,negative,7/28/2017 2:45,2,5,120,-1.285714286,0,6,0,1
687,Stephanny Pang,1.02E+16,"Platinum user also getting the $6 off second ride! Sucks! Promos getting lousier.  Same book time, same pick up and drop off destination, price differs by $3 on different cellphone. WHY?!  (Have sent a FB messenger this am but yet to receive a reply) Booked a JustGrab (accepted by Transcab driver) this morning with additional stop which is about 200m away from first drop off and had indicated about a 2mins wait in the note to driver's box. Upon reaching first destination, politely reminded the driver again and he said he DID NOT SEE THE NOTE & CAN'T WAIT & the extra money I paid is for the extra stop and not wait time. Don't Grabshare also have a 3min wait time! I told him I just need to send my kid to the lift and will be return quickly (in fact within a minute am back in car). Am sure he receives that note. This is my 2nd time calling with an additional stop and first experience was very good and driver was understanding.  Grab, please educate your drivers and ensure they are well aware of the Company's policy. If there is an option for customers to input notes, am sure it can be read by the drivers.  For Grabshare, if first passenger's destination does not require to enter ERP, and second rider's happened to be headed to pass through ERP, both riders should split the ERP costs or only billed to second rider?",3746,negative,7/23/2017 0:54,0,0,245,0,0,6,6,0
688,Peishi Ku,1.02E+16,"Gold member here, the promotion discount really get worst and lesser.. Hopefully can get more better in it",3748,negative,7/24/2017 19:19,19,1,18,0.333333333,0,1,2,0
689,Aeisha Anak Shah,1.53E+15,"What will happen if i'm with an infant and i book justgrab, and its a normal car that come instead of a taxi. Will they still take us?",3747,neutral,7/23/2017 13:14,13,0,28,0,0,0,0,0
690,Alan Goh,1.38E+15,Really? The rest of us think that it is getting really sucky,3742,negative,7/22/2017 6:43,6,6,12,0,0,0,0,0
691,Damian Chee,1.02E+16,Platinum user here as well.  Rides promotion and discount really getting lesser and unattractive. Hope it can get better.,3741,negative,7/22/2017 6:42,6,6,19,2,0,0,3,0
692,Maha Eswari,1.02E+16,"See Grab? This is what happens when you lose the plot and only want to, quite literally, Grab (folks' money)!",3744,neutral,7/22/2017 23:07,23,6,20,1,0,0,1,0
693,Aegeus Aleksander,2.91E+14,That why i love grab,3738,positive,7/22/2017 2:13,2,6,5,4,0,0,0,1
694,,1.02E+16,Have to pay ERP?,3737,neutral,7/22/2017 2:11,2,6,4,0,0,0,0,0
695,Sim Phongy,1.02E+16,Even if the taxi comes ? .. all fixed agreed pricing ?,3739,neutral,7/22/2017 2:32,2,6,12,1,0,0,1,0
696,Alenzo Gill,9.67E+14,,3745,neutral,7/22/2017 23:15,23,6,1,0,0,0,0,0
697,Nuraziyan Azman,1.65E+15,Will go up when it rain..,3736,neutral,7/22/2017 2:03,2,6,6,0,0,0,0,0
698,Ken Teng,2.46E+15,Will grab taking over the taxi industry than increase anytime they wan?,3743,neutral,7/22/2017 16:17,16,6,12,1,0,0,1,0
699,Jo Ngai,1.02E+16,Mav Wong,3749,neutral,7/27/2017 21:32,21,4,2,0,0,0,0,0
700,Gabriel Lionel Morais,1.02E+16,Grab Drivers are really too much . I just had an incident where the driver cancelled . Almost immediately the price surges like crazy . It's almost as if they know when a surge starts ... People like us are charged $5 whenever we cancel ... but these Drivers cancel whenever they like ...,3760,negative,7/22/2017 23:37,23,6,54,-0.625,0,4,0,0
701,Woody Hoi,1.83E+15,"Hi, I am a new Grab Driver. I saw many grab driver let the parents who carry a infant on board their car. do grab allow? do your insurance cover if there is a accident?",3782,neutral,7/30/2017 7:06,7,0,35,-0.5,0,1,1,0
702,Irene Tan,2.05E+15,I took a grabshare used the promo code 4OFF but end up I was not enjoying the promo . I still paying the full amount from tat trip .,3773,neutral,7/23/2017 12:27,12,0,29,2,0,0,1,0
703,Emily Tan,1.02E+16,"2 customer service officers have actually promised to call back on two separate occasions, but till now there is no news whatsoever. It's getting very ridiculous. Emails gone unanswered, calls were answered but there's no follow up.",3759,negative,7/22/2017 21:58,21,6,37,-1,0,3,1,0
704,Zhen Yang,1.02E+16,"Is there a profiling policy in GrabHitch,or the driver chooses to profile passengers?This evening,my girlfriend booked GrabHitch for both of us.We made an appointment for the driver of SGX5796U to fetch us at 910pm,then he called at 9pm,and since she was walking over from 100m away,the driver came by before 910pm,and i saw that the vehicle number was the one who was supposed to pick us up.First,he asked who i am,despite me showing him the screenshot,I carried a box which measured around 14 inches and 7 inches side to side,so i was prepared to keep it in the boot.His boot was almost full,and so were the back seats with a child seat and plastic bags of items.I thought Grabhitch vehicles were to pick up hitch passengers,so were the items passengers?I was left with the front seat,and then he drove off without asking where my girlfriend was.Upon uturning at the junction,he continuously told me off that why he was required to turn back,he bickered and threatened to cancel off the trip and told me to get off the vehicle,not even apologizing and kept the door on the child lock when i needed to get off the vehicle again.I would be shocked to find out if it had been a lone female passenger late at night,what would have happened?,even your CSO over the line replied that they couldnt do anything for three times,so is Grab safe anymore?",3772,negative,7/23/2017 9:30,9,0,235,-0.666666667,0,4,2,0
705,David Zeng Shiming,1.02E+16,What's the point of having promo codes when you quietly raise the base prices?  Grab is now consistently more expensive than Uber.,3767,negative,7/23/2017 3:46,3,0,22,0,0,0,0,0
706,Helen Lau,1.02E+16,Grab3 also can't be used over The Weeknds. It says not eligible for the promo. U mean not all can use?,3781,neutral,7/24/2017 18:21,18,1,21,0,0,0,0,0
707,Heriati Yazid,1.02E+16,"I try to use this promo yesterday but was not able to cause all along there was a limit. So Grab, nxt time u must be clear to mention  limited to .... rides. I nvr have any problem obtaining promo rates up till yesterday. Wats happening Grab?",3777,neutral,7/23/2017 23:47,23,0,47,-0.666666667,0,2,1,0
708,NazRee Yahyah,1.02E+16,"The rates are quite high nowadays, previously from my place to my moms is $4$5 during nonpeak but recently, it was $7$8. Is it true that u mark up the fares? Destination is Senja to Fajar",3775,neutral,7/23/2017 19:32,19,0,36,2,0,0,1,0
709,Reshmi Rai,1.02E+16,"What is the point of putting 2 rides a day per user but its fully taken up? I tried using the TAKE3 promo last week in the early afternoon and i couldnt use it. U mean from 10am  145pm all fully taken up? What nonsense is this? How many promo codes u all giving out? 10 per day is it? On a weekday at that hour, i doubt there will be that many riders and yet all used up. Lousy.",3774,neutral,7/23/2017 18:13,18,0,80,-1.666666667,0,3,0,0
710,Crystal Low,1.02E+16,"Tried using this early morning ytd at 8, no driver willing to pick up. What's the point if having these codes when ur drivers are not gonna picked up!? Also, removing useful features such as bookmarking promo codes...going back to stone age? ",3771,neutral,7/23/2017 9:03,9,0,43,2,0,1,1,0
711,Wzhl Thl,8.93E+14,They have promo code but most of the time on high demand. Don't know what's the promo code for.      Drivers cancel trip but cancellation fee on us. Grab service is getting worse. We should all rate 1 star for Grab.,3770,negative,7/23/2017 6:34,6,0,40,-1.666666667,0,3,0,0
712,Jyoti Ranjit,1.02E+16,"Hi Grab , I have not been able to use this code twice now. Why is it not applicable for GrabCar/GrabShare.",3769,neutral,7/23/2017 6:33,6,0,21,0,0,0,0,0
713,Dorothy Choo,1.67E+15,I need help due to there is error and it auto deduct from My credit and I never book the grab,3768,neutral,7/23/2017 4:57,4,0,21,0,0,1,1,0
714,Christine LimMiane,1.02E+16,I didn't get this in the Notifications. Does this mean I can claim for it? I took 2 rides yesterday and always check notifications to apply promo code.,3758,neutral,7/22/2017 16:51,16,6,28,0,0,0,0,0
715,Gavin Wang Guoyin,1.02E+16,Why doesn't promo don't works. I thought it say end 2359HRS.  Pls advise.,3779,neutral,7/24/2017 2:24,2,1,13,2,0,0,1,0
716,Herry Gunadi Sudibya,1.02E+16,Dear Grab  I took Grab Taxi and seems like our driver overcharge us for the meter fare. Maybe because we pay using credits then they may think we are not aware. It's not the extra toll or surcharge. It's the meter fare that was input wrongly. How to deal with this? I send Grab Support also no reply. This already happened twice and we don't want it to keep happening to us. Thanks.,3778,neutral,7/23/2017 23:51,23,0,73,1.166666667,0,1,4,0
717,Meteor Ong,1.02E+16,May I know is promo code grab3 fully utilised as of now? Tks,3780,neutral,7/24/2017 3:55,3,1,13,0,0,0,0,0
718,David SG Chin,2.06E+15,"Why is it that I comply to your advertised instructions, but the app says the promo is not valid?",3776,neutral,7/23/2017 22:02,22,0,19,0,0,0,0,0
719,Carol Lim,1.02E+16,Just tried to use this code but was told by the app that it is not available,3766,neutral,7/23/2017 3:20,3,0,17,0,0,0,0,0
720,Linda Pang,1.02E+16,So limited to 2 redemptions per user per day is not valid then?,3765,neutral,7/23/2017 3:15,3,0,13,-1,0,1,0,0
721,Wilson Li,1.02E+16,"I had confirm selecting just grab, and the promotion is not valid.",3764,neutral,7/23/2017 2:50,2,0,12,0,0,0,0,0
722,Claudia Tan Danwei,1.30E+15,Unable to use the code (Grab Share) Thank you for looking into it!,3763,neutral,7/23/2017 2:29,2,0,13,1.5,0,0,2,0
723,Ramzi Ramdzan,1.02E+16,I selected JustGrab but unable to apply promo code. May I know why?,3762,neutral,7/23/2017 2:25,2,0,13,0,0,0,0,0
724,Jenny Chow,1.02E+16,I cannot apply this promo code now when I wants to book a Justgrab.,3761,neutral,7/23/2017 2:17,2,0,14,0,0,0,0,0
725,Grab,2.30E+14,"Hey everyone, this contest is now closed! A big shoutout to everyone who participated. Here are the right answers.  3 awesome reasons to JustGrab: 1. Enjoy Upfront Fixed Fares 2. At least 10% cheaper than GrabCar 3. Get a ride faster with a fleet of over 50,000 taxis and cars  Also, dont forget that you can only bring up to 3 pax with you in the car as most private cars and taxis in our JustGrab fleet can only take up to 4pax (including yourself!)  To the lucky winners, well be reaching out to you via PM. Stay tuned for more great stuff coming your way.  :)",3710,positive,7/22/2017 22:19,22,6,107,2.111111111,0,1,6,1
726,WK ST,1.02E+16,Grab's upfront fixed fares are 10% cheaper then grabcar and allows up to 4 passengers of yours. Fuss free accessiblity with the largest fleet via JustGrab,3697,positive,7/20/2017 20:47,20,4,26,1.5,0,0,1,0
727,Gu Guu,1.86E+15,"Always JustGrab since it is started.. and became Platium member!   There are three awesome reasons for me to ride with JustGrab all the time!  1) At least 10% cheaper than GrabCar (Chop Chop! Extra Saving from my spendings)  2) Upfront fixed fares (this is super awesome, it is always cheaper without worries for unpredited meterfares and those subcharges)  3) Get a ride faster with a fleet of over 50,000 taxis and cars (anytime anywhere JustGrab in faster way for transport that I need daily)   Lastly, Although I normally JustGrab for myself alone most of the time..  I still can bring up to 4 pax along with me on my ride too! This is even more Great as ever! ",3700,positive,7/21/2017 0:05,0,5,119,2.857142857,0,1,2,2
728,Abhijit Thakur,1.02E+16,"1. cheaper than GrabCar, almost by 10% 2. Get a ride faster as there are more than 50,000 allies. 3. Upfront fixed fares (less ERP), so no surprises!",3693,positive,7/20/2017 19:53,19,4,28,0,0,1,0,0
